2116003,2018-03-02,ST
2117129,2018-03-02,ST
2116003,2018-03-04,ST
1117016,2018-03-05,ST
1117020,2018-03-05,ST
2117032,2018-03-05,ST
2117032,2018-03-06,ST
2117178,2018-03-06,ST
2114003,2018-03-07,ST
2117032,2018-03-07,ST
2117074,2018-03-07,ST
2117139,2018-03-07,ST
2117073,2018-03-08,ST
2117074,2018-03-08,ST
1099001,2018-03-09,ST
2117111,2018-03-09,ST
2117143,2018-03-09,ST
2109002,2018-03-10,ST
2116008,2018-03-10,ST
2117109,2018-03-11,ST
2117112,2018-03-11,ST
2117178,2018-03-12,ST
2117070,2018-03-15,ST
2117102,2018-03-15,ST
2117038,2018-03-16,ST
2117194,2018-03-17,ST
2117129,2018-03-18,ST
1116016,2018-03-19,ST
1116016,2018-03-20,ST
1116016,2018-03-23,ST
2113004,2018-03-25,ST
1116003,2018-03-26,ST
2113004,2018-03-26,ST
2117107,2018-03-26,ST
2113004,2018-03-27,ST
2114003,2018-03-28,ST
2117088,2018-03-28,ST
2117187,2018-03-28,ST
1117016,2018-03-29,ST
2117125,2018-03-01,SD
1089002,2018-03-02,SD
2117032,2018-03-02,SD
2117125,2018-03-02,SD
2117032,2018-03-03,SD
2117125,2018-03-03,SD
2118006,2018-03-03,SD
2117032,2018-03-04,SD
2117125,2018-03-04,SD
2118006,2018-03-04,SD
2118019,2018-03-04,SD
1114001,2018-03-05,SD
2116019,2018-03-05,SD
2117125,2018-03-05,SD
2116019,2018-03-06,SD
2117139,2018-03-06,SD
2117030,2018-03-07,SD
2117030,2018-03-08,SD
2117040,2018-03-08,SD
2117073,2018-03-09,SD
2115017,2018-03-10,SD
2116014,2018-03-10,SD
2117065,2018-03-10,SD
2118012,2018-03-10,SD
2116014,2018-03-11,SD
2117110,2018-03-11,SD
2115017,2018-03-12,SD
2116014,2018-03-12,SD
2117184,2018-03-15,SD
2117070,2018-03-16,SD
2117190,2018-03-16,SD
2114017,2018-03-18,SD
2116055,2018-03-18,SD
2118003,2018-03-20,SD
2117152,2018-03-21,SD
2117166,2018-03-21,SD
2117182,2018-03-21,SD
2115003,2018-03-22,SD
2113004,2018-03-23,SD
2113004,2018-03-24,SD
1095002,2018-03-25,SD
2114003,2018-03-27,SD
2116002,2018-03-27,SD
2109002,2018-03-28,SD
2116002,2018-03-28,SD
2109002,2018-03-29,SD
2115002,2018-03-29,SD
1116002,2018-03-30,SD
2115002,2018-03-30,SD
1117023,2018-03-31,SD
2115002,2018-03-31,SD
2117125,2018-03-31,SD
2117178,2018-03-05,LP
2116058,2018-03-09,LP
2117107,2018-03-31,LP
1116004,2018-03-01,ISH
1116005,2018-03-01,ISH
1117016,2018-03-01,ISH
2116061,2018-03-01,ISH
2117038,2018-03-01,ISH
2117039,2018-03-01,ISH
2117040,2018-03-01,ISH
2117102,2018-03-01,ISH
1116002,2018-03-02,ISH
1117020,2018-03-02,ISH
2114006,2018-03-02,ISH
2117056,2018-03-02,ISH
